OBJECTID,CITY,MUNITYPE,CR_PNIM,DISTRICT,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,YEARMONTH,ACC_INDEX,SUMINJ_AGE
93,Tamra,City,8900,North,872,11,37,1630,94,372,1231,63,1678,1583,27,54,12,1226,1319,202007,29.291,1666
94,Yanuh-Jat,local council,1295,North,124,0,5,188,9,43,139,9,193,192,5,4,4,150,163,202007,9.148,191
95,Yavne'el,local council,46,North,72,0,5,109,11,21,79,13,114,128,6,5,1,89,101,202007,2.307,113
96,Yavne,City,2660,Central,1066,2,12,1380,157,241,1035,85,1394,1961,119,62,71,1443,1695,202007,65.133,1361
97,Yehud-Monosson,City,9400,Central,589,4,25,702,65,103,511,87,731,1062,113,30,27,733,903,202007,102.789,701
98,Yoav,regional council,5535,South,522,17,49,862,11,122,735,55,928,1007,36,71,10,705,822,202007,2.628,912
99,Yesod HaMa'ala,local council,29,North,22,0,2,39,3,10,29,2,41,35,1,1,1,17,20,202007,1.882,41
100,Yafia,local council,499,North,415,1,22,710,55,177,530,23,733,745,11,17,6,598,632,202007,101.716,730
101,Yokneam,City,240,North,733,1,28,1147,42,149,944,78,1176,1456,33,83,5,1090,1211,202007,88.192,1171
102,Yeruham,local council,831,South,78,0,4,113,17,22,74,18,117,117,3,1,8,78,90,202007,1.331,114
103,Jerusalem,City,3000,Jerusalem,18520,66,860,23381,4306,3966,16327,2202,24307,31444,2560,818,900,19659,23937,202007,147.524,22495
104,Yirka,local council,502,North,621,1,13,1123,70,255,831,44,1137,1119,20,17,7,884,928,202007,39.733,1130
105,Kabul,local council,504,North,263,1,9,505,31,153,342,16,515,425,6,7,6,326,345,202007,36.14,511
106,Kaukab Abu al-Hija,local council,505,North,125,0,1,245,5,52,188,5,246,243,1,5,1,175,182,202007,45.763,245
107,Kokhav Yair,local council,1224,Central,65,0,0,78,6,8,59,6,78,116,6,4,3,88,101,202007,21.335,73
108,Kuseife,local council,1059,South,39,1,4,47,12,15,36,1,52,51,0,0,2,29,31,202007,2.883,52
109,Kisra-Sumei,local council,1296,North,165,1,12,292,23,72,221,11,305,238,0,6,2,192,200,202007,11.656,304
110,Ka'abiyye-Tabbash-Hajajre,local council,978,North,47,0,2,71,4,17,54,2,73,71,0,1,3,50,54,202007,30.261,73
111,Kfar Bara,local council,633,Central,57,1,2,70,13,20,44,7,73,91,0,6,2,62,70,202007,24.994,71
112,Kfar Vradim,local council,1263,North,92,0,4,135,12,23,105,8,139,156,1,2,1,123,127,202007,18.947,136
113,Kafr Yasif,local council,507,North,570,1,12,1101,55,251,804,56,1114,1095,42,22,13,856,933,202007,214.239,1111
114,Kfar-Yona,City,168,Central,361,2,10,462,30,96,324,45,474,704,49,17,24,487,577,202007,31.362,465
115,Kfar Kama,local council,508,North,36,0,5,54,1,13,38,8,59,57,4,2,0,48,54,202007,4.078,59
